설치지역,전처리_주소,방범용 번호,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명
주교동 309-5 (현대그린빌라 앞),주교동 309-5,S-5114,경기도 고양시 덕양구 주교동 309-5,126.8313585,37.6627034,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 마상로63번길 14-1,경기도 고양시 덕양구 주교동 309-5,10297,4128151000,주교동,4128110100,주교동
주교동 531-6 (보람요양병원 앞 삼거리),주교동 531-6,S-5115,경기도 고양시 덕양구 주교동 531-6,126.8337784,37.6681334,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 주교동 531-6,10296,4128151000,주교동,4128110100,주교동
주교동 623-4 (시온장로교회 앞 삼거리),주교동 623-4,S-5116,경기도 고양시 덕양구 주교동 623-4,126.8364313,37.6593838,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 호국로811번길 36,경기도 고양시 덕양구 주교동 623-4,10462,4128151000,주교동,4128110100,주교동
주교동 592-2 (주교5호어린이공원),주교동 592-2,S-5117,경기도 고양시 덕양구 주교동 592-2,126.830756,37.6599313,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 원당로59번길 71,경기도 고양시 덕양구 주교동 592-2,10460,4128151000,주교동,4128110100,주교동
주교동 587 (주교6호어린이공원),주교동 587,S-5118,경기도 고양시 덕양구 주교동 587,126.833123,37.6593151,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 마상로102번길 51,경기도 고양시 덕양구 주교동 587,10459,4128151000,주교동,4128110100,주교동
주교동 582-10 (체육공원시설),주교동 582-10,S-5119,경기도 고양시 덕양구 주교동 582-10,126.8335688,37.659797,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 원당로69번길 34,경기도 고양시 덕양구 주교동 582-10,10459,4128151000,주교동,4128110100,주교동
성사동 539 (원릉역 지하보도 앞),성사동 539,S-5120,경기도 고양시 덕양구 성사동 539,126.8408572,37.6633828,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 원당로 130,경기도 고양시 덕양구 성사동 539,10298,4128154000,성사1동,4128110600,성사동
주교동 313-16 (마상),주교동 313-16,S-5121,경기도 고양시 덕양구 주교동 313-16,126.8336725,37.6604107,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 원당로69번길 46,경기도 고양시 덕양구 주교동 313-16,10459,4128151000,주교동,4128110100,주교동
주교동 260-4 (원당양평해장국 앞 삼거리),주교동 260-4,S-5123,경기도 고양시 덕양구 주교동 260-4,126.8299231,37.6588419,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 주교동 260-4,10458,4128151000,주교동,4128110100,주교동
주교동 584-4 (홈마트 앞 사거리),주교동 584-4,S-5125,경기도 고양시 덕양구 주교동 584-4,126.8346325,37.6591768,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 원당로69번길 10,경기도 고양시 덕양구 주교동 584-4,10459,4128151000,주교동,4128110100,주교동
주교동 556-5 (원당농협 주교지점),주교동 556-5,S-5126,경기도 고양시 덕양구 주교동 556-5,126.8382173,37.6633208,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 원당로125번길 18,경기도 고양시 덕양구 주교동 556-5,10298,4128151000,주교동,4128110100,주교동
주교동 527-5 (원당중학교),주교동 527-5,S-5127,경기도 고양시 덕양구 주교동 527-5,126.823123,37.6645857,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 마상로 1,경기도 고양시 덕양구 주교동 527-5,10296,4128151000,주교동,4128110100,주교동
주교동 581-9 (성광파크뷰 주변),주교동 581-9,S-5129,경기도 고양시 덕양구 주교동 581-9,126.8341546,37.6607489,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 마상로102번길 14,경기도 고양시 덕양구 주교동 581-9,10459,4128151000,주교동,4128110100,주교동
주교동 572-2 (장수빌라 주변),주교동 572-2,S-5130,경기도 고양시 덕양구 주교동 572-2,126.8357038,37.662422,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 원당로101번길 44,경기도 고양시 덕양구 주교동 572-2,10298,4128151000,주교동,4128110100,주교동
주교동 570-5 (주교7호 어린이공원 주변),주교동 570-5,S-5131,경기도 고양시 덕양구 주교동 570-5,126.8364876,37.6615828,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 원당로101번길 24,경기도 고양시 덕양구 주교동 570-5,10298,4128151000,주교동,4128110100,주교동
주교동 578-2 (복권방 앞 삼거리),주교동 578-2,S-5133,경기도 고양시 덕양구 주교동 578-2,126.8363176,37.6601305,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 원당로 87,경기도 고양시 덕양구 주교동 578-2,10459,4128151000,주교동,4128110100,주교동
주교동 602-14 (고양시청 앞 5거리),주교동 602-14,S-5134,경기도 고양시 덕양구 주교동 602-14,126.8322682,37.6567297,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 고양시청로 13-8,경기도 고양시 덕양구 주교동 602-14,10460,4128151000,주교동,4128110100,주교동
주교동 602-9 (CU편의점 사거리),주교동 602-9,S-5135,경기도 고양시 덕양구 주교동 602-9,126.831552,37.6568668,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 원당로33번길 14,경기도 고양시 덕양구 주교동 602-9,10460,4128151000,주교동,4128110100,주교동
강매동 3-12 (주교동 551 (비닐하우스 앞)),강매동 3-12,S-5137,경기도 고양시 덕양구 강매동 3-12,126.8562685,37.6096254,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 강매동 3-12,NULL,4128165000,행신2동,4128112400,강매동
주교동 1633-1 (벽산아파트후문 버스정류장 옆),주교동 1633-1,S-5138,경기도 고양시 덕양구 주교동 1633-1,126.8345978,37.6657448,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 주교동 1633-1,10297,4128151000,주교동,4128110100,주교동
주교동 353-3 (주교벽산아파트 정문(한전주)),주교동 353-3,S-5139,경기도 고양시 덕양구 주교동 353-3,126.8324131,37.6648402,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 주교동 353-3,NULL,4128151000,주교동,4128110100,주교동
주교동 313-16 (마상공원 입구),주교동 313-16,S-5140,경기도 고양시 덕양구 주교동 313-16,126.8336725,37.6604107,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 원당로69번길 46,경기도 고양시 덕양구 주교동 313-16,10459,4128151000,주교동,4128110100,주교동
주교동 642 (주교1공원 사거리),주교동 642,S-5141,경기도 고양시 덕양구 주교동 642,126.8347292,37.6566189,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 주교동 642,NULL,4128151000,주교동,4128110100,주교동
주교동 275-6 (금산빌라 앞 사거리),주교동 275-6,S-5142,경기도 고양시 덕양구 주교동 275-6,126.8304474,37.6622619,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 마상로 59,경기도 고양시 덕양구 주교동 275-6,10297,4128151000,주교동,4128110100,주교동
주교동 305-14 (삼거리 전봇대(한전주)),주교동 305-14,S-5143,경기도 고양시 덕양구 주교동 305-14,126.8320514,37.663332,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 주교동 305-14,10297,4128151000,주교동,4128110100,주교동
신원동 279-1 (여가녹지공원),신원동 279-1,S-5201,경기도 고양시 덕양구 신원동 279-1,126.8768495,37.6757325,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 호국로1254번길 11,경기도 고양시 덕양구 신원동 279-1,10566,4128152000,원신동,4128110300,신원동
원당동 산 30-3 (낙타고개 삼거리),원당동 산 30-3,S-5202,경기도 고양시 덕양구 원당동 산 30-3,126.854519,37.6756439,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 원당동 산30-3,NULL,4128152000,원신동,4128110200,원당동
원당동 170-2 (남강사철탕 사거리 주변),원당동 170-2,S-5203,경기도 고양시 덕양구 원당동 170-2,126.8596432,37.6770991,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 원당동 170-2,10291,4128152000,원신동,4128110200,원당동
"원당동 378-6 (공양왕릉 입구, 일산칼국수 앞)",원당동 378-6,S-5204,경기도 고양시 덕양구 원당동 378-6,126.8497294,37.6745521,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 원당로 292,경기도 고양시 덕양구 원당동 378-6,10290,4128152000,원신동,4128110200,원당동
신원동 603 (신원고교뒤),신원동 603,S-5205,경기도 고양시 덕양구 신원동 603,126.887634,37.6686356,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 신원동 603,10567,4128152000,원신동,4128110300,신원동
신원동 617-1,신원동 617-1,S-5206,경기도 고양시 덕양구 신원동 617-1,126.8886934,37.6644829,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 신원동 617-1,10568,4128152000,원신동,4128110300,신원동
신원동 673 (신원초등학교앞 도로),신원동 673,S-5207,경기도 고양시 덕양구 신원동 673,126.8854828,37.6669575,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 신원동 673,NULL,4128152000,원신동,4128110300,신원동
신원동 607,신원동 607,S-5208,경기도 고양시 덕양구 신원동 607,126.8859996,37.6665028,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 신원2로 24,경기도 고양시 덕양구 신원동 607,10567,4128152000,원신동,4128110300,신원동
신원동 673-5 (신원중학교),신원동 673-5,S-5209,경기도 고양시 덕양구 신원동 673-5,126.8872637,37.6668661,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 신원동 673-5,NULL,4128152000,원신동,4128110300,신원동
신원동 290-3 (송강마을 입구 사거리),신원동 290-3,S-5210,경기도 고양시 덕양구 신원동 290-3,126.8783763,37.677477,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 신원동 290-3,10565,4128152000,원신동,4128110300,신원동
신원동 626-2 (동진프라자앞),신원동 626-2,S-5211,경기도 고양시 덕양구 신원동 626-2,126.8900195,37.6621978,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 신원로 16,경기도 고양시 덕양구 신원동 626-2,10571,4128152000,원신동,4128110300,신원동
신원동 679-2,신원동 679-2,S-5212,경기도 고양시 덕양구 신원동 679-2,126.8883476,37.6618307,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 신원동 679-2,NULL,4128152000,원신동,4128110300,신원동
신원동 679-4,신원동 679-4,S-5213,경기도 고양시 덕양구 신원동 679-4,126.8889147,37.6618,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 신원동 679-4,NULL,4128152000,원신동,4128110300,신원동
신원동 678,신원동 678,S-5214,경기도 고양시 덕양구 신원동 678,126.8908305,37.6610161,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 신원동 678,NULL,4128152000,원신동,4128110300,신원동
신원동 678,신원동 678,S-5215,경기도 고양시 덕양구 신원동 678,126.8908305,37.6610161,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 신원동 678,NULL,4128152000,원신동,4128110300,신원동
신원동 615,신원동 615,S-5216,경기도 고양시 덕양구 신원동 615,126.8877912,37.6664567,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 신원동 615,NULL,4128152000,원신동,4128110300,신원동
신원동 610,신원동 610,S-5217,경기도 고양시 덕양구 신원동 610,126.8901855,37.6677947,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 신원동 610,10579,4128152000,원신동,4128110300,신원동
신원동 200-1 (삼송힐스테이트),신원동 200-1,S-5218,경기도 고양시 덕양구 신원동 200-1,126.8858403,37.6627531,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 신원동 200-1,10566,4128152000,원신동,4128110300,신원동
신원동 26-33,신원동 26-33,S-5219,경기도 고양시 덕양구 신원동 26-33,126.8889355,37.6596468,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 신원동 26-33,NULL,4128152000,원신동,4128110300,신원동
신원동 646,신원동 646,S-5220,경기도 고양시 덕양구 신원동 646,126.8881932,37.6615409,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 신원로1길 61,경기도 고양시 덕양구 신원동 646,10570,4128152000,원신동,4128110300,신원동
신원동 489-1,신원동 489-1,S-5221,경기도 고양시 덕양구 신원동 489-1,126.8833689,37.6703613,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 신원동 489-1,NULL,4128152000,원신동,4128110300,신원동
신원동 450-6,신원동 450-6,S-5222,경기도 고양시 덕양구 신원동 450-6,126.8874216,37.6691923,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 신원동 450-6,10566,4128152000,원신동,4128110300,신원동
원당동 505 (삼거리),원당동 505,S-5224,경기도 고양시 덕양구 원당동 505,126.8549097,37.6775128,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 원당로364번길 90-43,경기도 고양시 덕양구 원당동 505,10291,4128152000,원신동,4128110200,원당동
신원동 646-1 (꿈나라유치원),신원동 646-1,S-5225,경기도 고양시 덕양구 신원동 646-1,126.8884466,37.661273,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 신원로1길 61,경기도 고양시 덕양구 신원동 646-1,10570,4128152000,원신동,4128110300,신원동
원당동 400,원당동 400,S-5226,경기도 고양시 덕양구 원당동 400,126.8492758,37.6767642,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 원당동 400,10290,4128152000,원신동,4128110200,원당동
원당동 601-1,원당동 601-1,S-5227,경기도 고양시 덕양구 원당동 601-1,126.8508999,37.6787712,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 통일로493번안길 435,경기도 고양시 덕양구 원당동 601-1,10291,4128152000,원신동,4128110200,원당동
원당동 673-11,원당동 673-11,S-5228,경기도 고양시 덕양구 원당동 673-11,126.849356,37.6833153,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 원당동 673-11,10290,4128152000,원신동,4128110200,원당동
원당동 994-2 (원신1통),원당동 994-2,S-5229,경기도 고양시 덕양구 원당동 994-2,126.8417335,37.675546,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 공양왕길 69-10,경기도 고양시 덕양구 원당동 994-2,10290,4128152000,원신동,4128110200,원당동
신원동 680-4 (노브랜드 앞 사거리 도로),신원동 680-4,S-5230,경기도 고양시 덕양구 신원동 680-4,126.891226,37.6626146,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 신원동 680-4,NULL,4128152000,원신동,4128110300,신원동
신원동 600-2,신원동 600-2,S-5231,경기도 고양시 덕양구 신원동 600-2,126.8862121,37.6697305,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 신원동 600-2,10567,4128152000,원신동,4128110300,신원동
원당동 1280,원당동 1280,S-5232,경기도 고양시 덕양구 원당동 1280,126.8566076,37.6821064,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 원당동 1280,NULL,4128152000,원신동,4128110200,원당동
원흥동 660 (삼거리),원흥동 660,S-5233,경기도 고양시 덕양구 원흥동 660,126.8765599,37.6550875,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 서삼릉길 329,경기도 고양시 덕양구 원흥동 660,10559,4128157700,삼송2동,4128110400,원흥동
신원동 산 11-41 (버스정유장앞 삼거리),신원동 산 11-41,S-5234,경기도 고양시 덕양구 신원동 산 11-41,126.8754345,37.6763497,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 신원동 산11-41,10565,4128152000,원신동,4128110300,신원동
원흥동 694 (부영닭갈비 앞),원흥동 694,S-5235,경기도 고양시 덕양구 원흥동 694,126.8767218,37.6533681,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 원흥동 694,NULL,4128157700,삼송2동,4128110400,원흥동
대자동 1188-20 (백제교 하부 산책로),대자동 1188-20,S-5236,경기도 고양시 덕양구 대자동 1188-20,126.887436,37.669751,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 대자동 1188-20,10278,4128152000,원신동,4128111700,대자동
원흥동 194-1 (흥도4통 마을회관앞),원흥동 194-1,S-5301,경기도 고양시 덕양구 원흥동 194-1,126.8710707,37.6456285,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 고양대로1730번길 76,경기도 고양시 덕양구 원흥동 194-1,10552,4128153000,흥도동,4128110400,원흥동
성사동 240-13 (개성보신탕 앞 삼거리),성사동 240-13,S-5302,경기도 고양시 덕양구 성사동 240-13,126.8522467,37.6450594,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 흥도로 456,경기도 고양시 덕양구 성사동 240-13,10480,4128153000,흥도동,4128110600,성사동
성사동 688-1 (착한낙지 앞),성사동 688-1,S-5303,경기도 고양시 덕양구 성사동 688-1,126.8437618,37.6419852,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 충장로350번길 100,경기도 고양시 덕양구 성사동 688-1,10480,4128153000,흥도동,4128110600,성사동
삼송동 339 (동송보도교),삼송동 339,S-5304,경기도 고양시 덕양구 삼송동 339,126.8798611,37.6465683,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 덕수천1로 14,경기도 고양시 덕양구 삼송동 339,10588,4128157600,삼송1동,4128111100,삼송동
도내동 417-2 (원흥근린2),도내동 417-2,S-5307,경기도 고양시 덕양구 도내동 417-2,126.870761,37.6294072,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 도내동 417-2,NULL,4128153000,흥도동,4128110500,도내동
도내동 48-1 (원흥근린3),도내동 48-1,S-5308,경기도 고양시 덕양구 도내동 48-1,126.8720864,37.6286631,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 도내동 48-1,NULL,4128153000,흥도동,4128110500,도내동
도내동 948-127 (도래울바람물공원(수변공원)),도내동 948-127,S-5309,경기도 고양시 덕양구 도내동 948-127,126.8746633,37.6283182,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 도내동 948-127,NULL,4128153000,흥도동,4128110500,도내동
도내동 58-1 (도담어린이공원),도내동 58-1,S-5310,경기도 고양시 덕양구 도내동 58-1,126.8720235,37.6298248,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 도내동 58-1,NULL,4128153000,흥도동,4128110500,도내동
도내동 385-4 (다솔유치원),도내동 385-4,S-5312,경기도 고양시 덕양구 도내동 385-4,126.8673722,37.6295009,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 도내동 385-4,NULL,4128153000,흥도동,4128110500,도내동
도내동 64-2 (도래울 초등학교 정문 앞),도내동 64-2,S-5313,경기도 고양시 덕양구 도내동 64-2,126.8706102,37.6311357,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 도내동 64-2,NULL,4128153000,흥도동,4128110500,도내동
원흥동 663-9,원흥동 663-9,S-5314,경기도 고양시 덕양구 원흥동 663-9,126.8781894,37.6529947,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 서삼릉길 357,경기도 고양시 덕양구 원흥동 663-9,10559,4128157700,삼송2동,4128110400,원흥동
삼송동 311 (삼송아이파크2차 2006동 옆),삼송동 311,S-5315,경기도 고양시 덕양구 삼송동 311,126.8871243,37.6503853,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 세솔로 73,경기도 고양시 덕양구 삼송동 311,10589,4128157600,삼송1동,4128111100,삼송동
원흥동 490-8,원흥동 490-8,S-5317,경기도 고양시 덕양구 원흥동 490-8,126.8679066,37.6502835,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 원흥동 490-8,NULL,4128157700,삼송2동,4128110400,원흥동
원흥동 518-2,원흥동 518-2,S-5318,경기도 고양시 덕양구 원흥동 518-2,126.8696232,37.6514172,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 원흥동 518-2,10555,4128157700,삼송2동,4128110400,원흥동
원흥동 689-5,원흥동 689-5,S-5319,경기도 고양시 덕양구 원흥동 689-5,126.8753211,37.6493092,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 원흥동 689-5,NULL,4128157700,삼송2동,4128110400,원흥동
삼송동 334 (송현 공원내),삼송동 334,S-5320,경기도 고양시 덕양구 삼송동 334,126.8774706,37.6487981,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 삼송로185번길 27,경기도 고양시 덕양구 삼송동 334,NULL,4128157600,삼송1동,4128111100,삼송동
원흥동 689-11,원흥동 689-11,S-5321,경기도 고양시 덕양구 원흥동 689-11,126.8738161,37.6484209,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 원흥동 689-11,NULL,4128157700,삼송2동,4128110400,원흥동
삼송동 386-2,삼송동 386-2,S-5322,경기도 고양시 덕양구 삼송동 386-2,126.8760179,37.6474417,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 큰골길 13-9,경기도 고양시 덕양구 삼송동 386-2,10574,4128157600,삼송1동,4128111100,삼송동
삼송동 381-2,삼송동 381-2,S-5323,경기도 고양시 덕양구 삼송동 381-2,126.8759608,37.6422063,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 삼송동 381-2,NULL,4128157600,삼송1동,4128111100,삼송동
원흥동 58-11,원흥동 58-11,S-5324,경기도 고양시 덕양구 원흥동 58-11,126.8787404,37.6502608,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 원흥동 58-11,NULL,4128157700,삼송2동,4128110400,원흥동
삼송동 369,삼송동 369,S-5325,경기도 고양시 덕양구 삼송동 369,126.8765194,37.6427342,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 삼원로3길 70,경기도 고양시 덕양구 삼송동 369,10550,4128157600,삼송1동,4128111100,삼송동
원흥동 691 (봄 부동산앞),원흥동 691,S-5326,경기도 고양시 덕양구 원흥동 691,126.8738703,37.6523318,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 원흥동 691,NULL,4128157700,삼송2동,4128110400,원흥동
원흥동 692,원흥동 692,S-5327,경기도 고양시 덕양구 원흥동 692,126.8744054,37.6529226,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 원흥동 692,NULL,4128157700,삼송2동,4128110400,원흥동
신원동 676,신원동 676,S-5328,경기도 고양시 덕양구 신원동 676,126.8849662,37.6605734,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 신원동 676,NULL,4128152000,원신동,4128110300,신원동
도내동 1000 (다솔유치원 뒷산 입구),도내동 1000,S-5329,경기도 고양시 덕양구 도내동 1000,126.8671818,37.6301027,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 도래울1로 37,경기도 고양시 덕양구 도내동 1000,10551,4128153000,흥도동,4128110500,도내동
"도내동 1010 (도래울2,3단지 사이)",도내동 1010,S-5330,경기도 고양시 덕양구 도내동 1010,126.8713828,37.6317378,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 도래울로 86,경기도 고양시 덕양구 도내동 1010,10551,4128153000,흥도동,4128110500,도내동
도내동 1011 (원흥도래울4단지 앞 사거리),도내동 1011,S-5331,경기도 고양시 덕양구 도내동 1011,126.8730342,37.6311679,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 도래울3로 33,경기도 고양시 덕양구 도내동 1011,10551,4128153000,흥도동,4128110500,도내동
도내동 1086 (도래울고등학교와 두배로마트 사이),도내동 1086,S-5332,경기도 고양시 덕양구 도내동 1086,126.8695176,37.6284763,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 도래울1로 61,경기도 고양시 덕양구 도내동 1086,10551,4128153000,흥도동,4128110500,도내동
성사동 34-1 (흥도동주민센터 앞),성사동 34-1,S-5333,경기도 고양시 덕양구 성사동 34-1,126.8543444,37.6449627,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 흥도로454번길 44,경기도 고양시 덕양구 성사동 34-1,10480,4128153000,흥도동,4128110600,성사동
원흥동 158-29 (원흥역에서 명현학교 가는 방면 터널),원흥동 158-29,S-5334,경기도 고양시 덕양구 원흥동 158-29,126.8760335,37.6516677,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 원흥동 158-29,NULL,4128157700,삼송2동,4128110400,원흥동
원흥동 737 (삼거리),원흥동 737,S-5335,경기도 고양시 덕양구 원흥동 737,126.8744227,37.6367585,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 삼원안길 56,경기도 고양시 덕양구 원흥동 737,10550,4128153000,흥도동,4128110400,원흥동
원흥동 746-1 (삼거리),원흥동 746-1,S-5336,경기도 고양시 덕양구 원흥동 746-1,126.8740138,37.635322,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 삼원안길 42-16,경기도 고양시 덕양구 원흥동 746-1,10550,4128153000,흥도동,4128110400,원흥동
성사동 196-16 (대성식품 앞 삼거리),성사동 196-16,S-5337,경기도 고양시 덕양구 성사동 196-16,126.8504473,37.6419695,정좌표,4.12811E+18,구주소,,경기도 고양시 덕양구 성사동 196-16,10480,4128153000,흥도동,4128110600,성사동
도내동 1050-1,도내동 1050-1,S-5338,경기도 고양시 덕양구 도내동 1050-1,126.8737312,37.6292734,정좌표,4.12811E+18,구주소,경기도 고양시 덕양구 도래울안길 50,경기도 고양시 덕양구 도내동 1050-1,10551,4128153000,흥도동,4128110500,도내동
